"x1y1","x2y1","x3y1","x4y1","x5y1","x6y1","x1y2","x2y2","x3y2","x4y2","x5y2","x6y2","x1y3","x2y3","x3y3","x4y3","x5y3","x6y3","x1y4","x2y4","x3y4","x4y4","x5y4","x6y4","x1y5","x2y5","x3y5","x4y5","x5y5","x6y5","x1y6","x2y6","x3y6","x4y6","x5y6","x6y6","y"
0,0,0,0,17,16,0,21,2,35,84,157,12,175,44,143,39,140,63,164,136,173,169,52,43,240,172,72,65,0,0,9,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,109,39,77,132,115,48,67,113,77,248,251,162,188,49,0,18,29,52,10,0,0,0,0,0,0,0,3
13,95,0,0,0,0,45,121,0,0,82,72,39,108,147,50,10,157,11,212,185,128,50,152,0,20,11,224,227,47,0,0,0,17,11,0,3
0,0,0,0,0,0,0,0,0,9,128,98,0,112,163,193,109,107,0,133,150,128,82,0,28,183,68,0,0,0,2,2,0,0,0,0,8
0,0,0,0,38,34,0,159,6,0,96,181,34,185,107,58,65,171,54,235,215,160,166,104,13,236,173,176,152,17,0,44,5,0,0,0,3
0,76,32,0,0,0,0,135,0,0,0,0,0,124,108,76,32,0,0,114,179,122,163,18,0,0,21,147,169,23,0,0,0,17,38,0,3
0,0,0,0,6,10,0,0,0,52,161,168,3,51,60,212,138,140,48,178,225,107,67,1,16,173,159,0,0,0,0,34,28,0,0,0,8
0,0,0,0,0,0,0,0,0,0,86,38,0,140,162,149,112,120,11,181,164,165,150,28,66,147,47,1,2,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,113,0,0,0,0,0,127,32,102,0,53,0,133,115,110,66,104,0,0,0,49,71,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,34,88,0,23,10,10,110,63,125,105,110,36,186,95,109,89,105,1,98,21,0,24,6,0,0,0,0,0,0,8
0,10,0,0,3,1,0,6,0,0,92,136,11,186,166,26,58,137,62,217,181,150,153,56,18,224,39,50,67,0,0,12,0,0,0,0,3
0,0,0,0,0,0,13,25,0,0,71,19,82,23,101,0,34,112,81,117,151,0,93,53,0,1,38,89,69,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,2,23,0,58,147,0,118,152,123,132,157,0,162,138,194,109,62,0,220,144,5,0,0,0,81,0,0,0,0,8
0,0,0,0,0,0,5,78,4,5,14,16,51,166,148,30,31,177,16,180,190,157,124,107,0,0,1,66,69,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,8,99,112,18,118,115,107,26,107,64,71,195,135,112,34,11,206,69,0,0,0,6,15,0,0,0,0,8
0,89,0,0,0,0,0,125,0,0,0,0,0,168,154,0,0,48,0,68,147,31,0,95,0,0,13,152,97,137,0,0,0,0,35,5,3
0,0,0,0,0,0,0,20,23,0,35,76,0,140,181,101,149,155,38,104,80,171,139,32,15,149,96,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,1,3,0,101,101,3,155,158,148,75,140,8,150,105,168,148,31,27,179,111,0,0,0,3,16,0,0,0,0,8
0,0,0,0,0,0,0,53,0,0,0,4,38,124,103,37,5,164,34,169,169,86,98,110,0,0,1,74,75,1,0,0,0,0,0,0,3
0,0,0,0,32,48,0,4,0,0,63,104,34,123,27,130,81,73,123,106,189,101,175,31,60,192,109,99,48,0,0,0,0,0,0,0,3
0,35,0,0,44,94,0,203,39,93,27,193,0,212,65,161,0,177,0,198,107,190,35,159,0,230,211,107,176,34,0,40,36,0,0,0,3
0,0,0,0,0,0,0,0,0,2,64,54,1,141,147,148,105,121,25,183,124,177,151,27,65,116,0,5,2,0,0,2,0,0,0,0,8
0,0,0,0,0,0,15,55,0,0,0,70,6,149,66,28,34,123,0,156,168,176,125,51,0,40,23,31,98,0,0,0,0,0,0,0,3
0,0,0,0,90,61,0,39,0,0,46,126,42,147,80,89,72,102,106,112,183,209,201,13,68,209,56,15,11,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,91,0,0,0,0,43,85,55,96,8,86,21,146,122,122,8,143,0,0,0,96,114,24,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,28,48,4,128,108,108,231,147,44,179,203,175,80,0,4,163,60,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,69,11,0,0,0,25,82,106,64,82,57,54,36,97,107,6,86,10,85,26,12,98,52,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,2,156,85,48,160,73,139,155,98,121,45,88,137,122,8,53,76,142,1,0,0,0,55,39,0,0,0,8
0,37,0,0,0,0,6,171,2,67,9,89,57,124,62,131,0,161,63,122,220,84,44,151,26,169,61,153,165,20,0,0,0,0,0,0,3
0,0,0,0,66,38,0,0,2,15,70,127,14,104,62,113,96,91,102,87,164,161,175,12,87,216,107,68,33,0,0,8,0,0,0,0,3
0,0,0,0,0,0,0,8,58,0,0,0,14,135,149,23,104,40,35,30,183,180,122,76,0,80,16,43,34,0,0,0,0,0,0,0,8
0,0,0,0,79,14,0,103,3,12,81,116,0,185,36,138,38,125,17,174,106,113,100,66,7,186,183,120,129,0,0,94,47,0,0,0,3
0,0,0,0,44,62,0,88,38,0,8,162,0,181,8,109,10,170,0,222,44,211,196,49,0,204,178,46,5,0,0,69,67,0,0,0,3
0,0,0,0,0,0,0,33,54,3,13,9,35,132,95,184,138,109,31,108,19,205,61,100,0,126,142,38,80,27,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,8,105,99,1,102,83,145,96,122,41,94,167,120,75,0,9,103,83,0,0,0,1,65,0,0,0,0,8
0,54,2,0,0,0,50,143,0,0,37,0,101,83,18,65,143,39,21,180,192,170,64,125,0,0,0,73,165,49,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,2,2,104,81,0,67,164,151,110,66,4,152,136,151,136,0,5,192,21,0,0,0,53,25,0,0,0,0,8
0,0,0,0,36,49,0,36,1,0,47,155,0,176,42,76,10,149,0,186,125,171,155,54,0,196,173,22,47,0,0,82,27,0,0,0,3
0,0,0,16,97,0,0,74,8,1,80,83,0,160,0,77,78,72,0,177,21,217,148,9,0,134,163,69,0,0,0,21,90,2,0,0,3
0,0,0,0,93,16,5,12,0,0,107,97,88,159,61,24,75,127,112,111,231,125,184,49,34,169,56,93,67,0,0,0,0,0,0,0,3
0,0,0,0,19,0,0,0,0,132,153,80,8,134,152,115,32,127,109,104,154,169,197,60,69,188,137,0,0,0,0,0,0,0,0,0,8
0,1,0,0,0,0,52,73,47,1,0,0,32,137,147,84,0,0,0,37,2,129,12,79,0,0,0,27,137,141,0,0,0,0,0,0,3
0,0,0,0,77,2,0,0,0,0,113,84,78,112,32,4,64,117,120,56,212,154,185,40,86,209,82,77,30,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,19,95,38,113,94,34,18,125,199,133,129,93,0,15,63,0,0,0,0,0,0,0,0,0,8
0,0,0,28,103,5,7,67,0,55,145,103,92,120,45,58,92,94,92,157,222,80,172,43,14,113,139,194,127,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,48,148,48,20,152,124,167,48,159,64,96,183,156,160,56,28,203,144,0,0,0,0,24,4,0,0,0,8
0,48,51,0,0,0,0,99,31,0,0,0,0,76,73,109,135,0,0,31,171,134,125,0,0,0,99,158,178,0,0,0,0,7,35,0,3
0,0,0,0,0,0,0,0,65,49,31,5,30,70,137,18,73,87,99,75,178,4,22,100,34,62,26,122,118,13,0,0,0,0,0,0,3
